loss,mae,val_loss,val_mae
56088498176.0,206887.515625,56586264576.0,207202.328125
56088219648.0,206886.859375,56585961472.0,207201.703125
56087932928.0,206886.234375,56585658368.0,207201.015625
56087642112.0,206885.59375,56585347072.0,207200.296875
56087347200.0,206884.921875,56585023488.0,207199.59375
56087044096.0,206884.25,56584704000.0,207198.890625
56086740992.0,206883.546875,56584372224.0,207198.15625
56086421504.0,206882.84375,56584032256.0,207197.40625
56086106112.0,206882.109375,56583688192.0,207196.65625
56085786624.0,206881.359375,56583344128.0,207195.875
56085450752.0,206880.609375,56582987776.0,207195.078125
56085114880.0,206879.875,56582615040.0,207194.3125
56084770816.0,206879.0625,56582246400.0,207193.453125
56084422656.0,206878.28125,56581873664.0,207192.640625
56084066304.0,206877.5,56581484544.0,207191.78125
56083705856.0,206876.6875,56581103616.0,207190.921875
56083337216.0,206875.84375,56580710400.0,207190.046875
56082968576.0,206875.015625,56580308992.0,207189.171875
56082587648.0,206874.171875,56579895296.0,207188.25
56082194432.0,206873.296875,56579485696.0,207187.328125
56081797120.0,206872.375,56579059712.0,207186.390625
56081403904.0,206871.46875,56578621440.0,207185.4375
56080998400.0,206870.5625,56578174976.0,207184.5
56080580608.0,206869.609375,56577732608.0,207183.5
56080158720.0,206868.6875,56577286144.0,207182.53125
56079728640.0,206867.703125,56576823296.0,207181.5
56079294464.0,206866.703125,56576360448.0,207180.453125
56078852096.0,206865.734375,56575877120.0,207179.40625
56078401536.0,206864.71875,56575393792.0,207178.3125
56077942784.0,206863.65625,56574894080.0,207177.25
56077471744.0,206862.609375,56574398464.0,207176.140625
56077004800.0,206861.546875,56573890560.0,207175.03125
56076525568.0,206860.453125,56573370368.0,207173.859375
56076034048.0,206859.34375,56572850176.0,207172.71875
56075538432.0,206858.25,56572313600.0,207171.53125
56075030528.0,206857.109375,56571768832.0,207170.34375
56074522624.0,206855.953125,56571215872.0,207169.140625
56073994240.0,206854.78125,56570646528.0,207167.90625
56073465856.0,206853.578125,56570085376.0,207166.640625
56072933376.0,206852.390625,56569503744.0,207165.359375
56072388608.0,206851.15625,56568918016.0,207164.09375
